channel;bin;weight;err_stat;err_syst_up;err_syst_do;err_tot_up;err_tot_do
res_wjetcr_ele_mext;Wjets_HT_res_3;0.7484237264548942;0.019675596286133516;0.19119657306531776;0.17630254284667868;0.19220629188748298;0.17739705663685595
res_wjetcr_ele_mext;Wjets_HT_res_1;1.3886308601554376;0.012300771898080562;0.32234782355838676;0.2941369415892255;0.3225824365059534;0.2943940376379115
res_wjetcr_ele_mint;Wjets_HT_res_6;0.3485113777952711;0.07116994130308169;0.10212354330112192;0.0812236597161106;0.12447641801345431;0.10799279347605849
res_wjetcr_ele_mint;Wjets_HT_res_4;0.6326483790638233;0.04058874630059209;0.17539388898145813;0.14443175238854297;0.18002906048272843;0.15002658905767075
res_wjetcr_ele_mint;Wjets_HT_res_5;0.3695047612125364;0.0658095084157053;0.10129276676891091;0.08683954959713715;0.12079369187841628;0.10895870214053777
res_wjetcr_ele_mint;Wjets_HT_res_2;1.0441754167717794;0.013417137139289291;0.23993406537645928;0.23627519072724967;0.2403089163911517;0.23665583728742612
res_wjetcr_ele_mint;Wjets_HT_res_3;0.7823116280141829;0.021782006602429366;0.1875349211060518;0.1908047708848228;0.18879566320729232;0.19204404808282396
res_wjetcr_ele_mint;Wjets_HT_res_1;1.29869481460435;0.013658846079359634;0.27016058107735047;0.28205531949872586;0.27050564438523517;0.28238584832414665
res_wjetcr_mu_mext;Wjets_HT_res_6;0.41802534319895723;0.055027214558934744;0.12084974849215002;0.10419067154932518;0.13278801170561655;0.11782907272831439
res_wjetcr_mu_mext;Wjets_HT_res_4;0.7378912869406927;0.030111846037282692;0.1809703035042958;0.16529147369519842;0.1834583713603987;0.16801188811540535
res_wjetcr_mu_mext;Wjets_HT_res_5;0.5512364434284586;0.047249653147570125;0.15348480579546261;0.13140440533675388;0.16059301146885738;0.13964113815230667
res_wjetcr_mu_mext;Wjets_HT_res_2;0.9988293841962996;0.009005048274675857;0.24357370619340488;0.2322424138546104;0.24374011004186483;0.232416930724604
res_wjetcr_mu_mext;Wjets_HT_res_3;0.9060318422873704;0.016504964451679906;0.22508532485175914;0.20136771224766958;0.225689648223336;0.2020429889588141
res_wjetcr_mu_mext;Wjets_HT_res_1;1.1714864779431413;0.00807908433461279;0.2532222055537563;0.2568299942446208;0.2533510548412905;0.25695703443840123
res_wjetcr_mu_mint;Wjets_HT_res_6;0.5145382973999523;0.05962967316641454;0.150507144985761;0.12053178733261947;0.16188915533073334;0.1344753125280965
res_wjetcr_mu_mint;Wjets_HT_res_4;0.6891884343463922;0.03184048825980378;0.17192712678132097;0.15056864577194842;0.17485066089638643;0.15389845282595008
res_wjetcr_mu_mint;Wjets_HT_res_5;0.5610576456461158;0.051088666148828746;0.1545369355060574;0.13676861079642738;0.1627627606194667;0.1459989887227001
res_wjetcr_mu_mint;Wjets_HT_res_2;0.9675137817757332;0.010276999689527557;0.22795708276462218;0.2263388052378155;0.2281886243991478;0.2265720006512286
res_wjetcr_mu_mint;Wjets_HT_res_3;0.8948832865639785;0.018168354588619366;0.21921100474889044;0.2002223078360901;0.21996261889574753;0.20104492449118888
res_wjetcr_mu_mint;Wjets_HT_res_1;1.1196253705397652;0.008977393722262176;0.24025316612029562;0.2454676464205934;0.2404208340158375;0.24563175494489708
