category,variable,sample,ratio,ratio_up,ratio_down
incl_BoostedGen_,nCleanJet_boo,ggH_htt,1.04125103608,1.04040737401,1.04212486695
incl_BoostedGen_,nCleanJet_boo,QQH_800_RelW002,1.02412151802,1.02392393223,1.02432368177
incl_BoostedGen_,nCleanJet_boo,QQH_1000_RelW002,1.02492226572,1.02472857795,1.02512086578
incl_BoostedGen_,nCleanJet_boo,GGH_155_RelW002,0.959673236803,0.958916480016,0.961431204229
incl_BoostedGen_,nCleanJet_boo,QQH_126_RelW002,1.02132372973,1.01967677231,1.03122722798
incl_BoostedGen_,nCleanJet_boo,QQH_550_RelW002,1.03029131785,1.03011032106,1.03047600278
incl_BoostedGen_,nCleanJet_boo,GGH_4000_RelW002,1.06463859366,1.06377954415,1.06553582983
incl_BoostedGen_,nCleanJet_boo,QQH_160_RelW002,1.07606601512,1.06798919654,1.09011244585
incl_BoostedGen_,nCleanJet_boo,GGH_550_RelW002,1.06364563727,1.06329741387,1.06400087516
incl_BoostedGen_,nCleanJet_boo,ggWW,1.05759098079,1.05720244963,1.05798912164
incl_BoostedGen_,nCleanJet_boo,GGH_650_RelW002,1.0690630968,1.06881001766,1.06931976359
incl_BoostedGen_,nCleanJet_boo,GGH_400_RelW002,1.07628108647,1.0757231142,1.07685703842
incl_BoostedGen_,nCleanJet_boo,ZH_hww,1.09214262311,1.08952355127,1.09503168847
incl_BoostedGen_,nCleanJet_boo,QQH_5000_RelW002,1.01029006944,1.01019750949,1.01038508345
incl_BoostedGen_,nCleanJet_boo,GGH_270_RelW002,1.06063885875,1.05980005703,1.06152424346
incl_BoostedGen_,nCleanJet_boo,QQH_2500_RelW002,1.01462182323,1.01449004076,1.01475645613
incl_BoostedGen_,nCleanJet_boo,QQH_1500_RelW002,1.0197811419,1.01962822357,1.01993792123
incl_BoostedGen_,nCleanJet_boo,ggH_hww,1.101572648,1.09213137106,1.11453318534
incl_BoostedGen_,nCleanJet_boo,GGH_450_RelW002,1.06441412632,1.06412849581,1.06470445594
incl_BoostedGen_,nCleanJet_boo,QQH_3000_RelW002,1.0177818533,1.01767472669,1.01789123776
incl_BoostedGen_,nCleanJet_boo,QQH_650_RelW002,1.02534066908,1.02517609668,1.02550866946
incl_BoostedGen_,nCleanJet_boo,QQH_2000_RelW002,1.01666923959,1.01655903669,1.01678186871
incl_BoostedGen_,nCleanJet_boo,QQH_400_RelW002,1.0258732036,1.02565791259,1.02609388508
incl_BoostedGen_,nCleanJet_boo,QQH_210_RelW002,1.03778689886,1.03717049837,1.03843992031
incl_BoostedGen_,nCleanJet_boo,QQH_150_RelW002,0.955902256399,0.954546314316,1.09812135621
incl_BoostedGen_,nCleanJet_boo,WH_htt,1.03691639072,1.03621671147,1.03763953176
incl_BoostedGen_,nCleanJet_boo,GGH_900_RelW002,1.0673773548,1.06698088562,1.06778319052
incl_BoostedGen_,nCleanJet_boo,GGH_350_RelW002,1.07511807746,1.07447826908,1.07578300607
incl_BoostedGen_,nCleanJet_boo,ZH_htt,1.03199160199,1.03094507346,1.03309051609
incl_BoostedGen_,nCleanJet_boo,GGH_1500_RelW002,1.07075780194,1.07019679549,1.07133458195
incl_BoostedGen_,nCleanJet_boo,GGH_165_RelW002,1.03869077252,1.03746627317,1.04004873875
incl_BoostedGen_,nCleanJet_boo,QQH_700_RelW002,1.02578659305,1.02561007512,1.02596695313
incl_BoostedGen_,nCleanJet_boo,QQH_130_RelW002,1.07497616952,1.07144841647,1.07925025251
incl_BoostedGen_,nCleanJet_boo,GGH_170_RelW002,1.07706889837,1.07499313771,1.07938503979
incl_BoostedGen_,nCleanJet_boo,WH_hww,1.07155949341,1.07063964391,1.07252214093
incl_BoostedGen_,nCleanJet_boo,GGH_200_RelW002,1.06795184019,1.06663499934,1.0693795075
incl_BoostedGen_,nCleanJet_boo,GGH_300_RelW002,1.0717286341,1.07084613205,1.07265165926
incl_BoostedGen_,nCleanJet_boo,GGH_750_RelW002,1.06354194313,1.06318431513,1.06390723476
incl_BoostedGen_,nCleanJet_boo,QQH_350_RelW002,1.0318375969,1.03156252955,1.0321207171
incl_BoostedGen_,nCleanJet_boo,top,1.06741485087,1.06738732786,1.06744241106
incl_BoostedGen_,nCleanJet_boo,QQH_300_RelW002,1.04158311637,1.04124477114,1.04193227714
incl_BoostedGen_,nCleanJet_boo,QQH_165_RelW002,1.07040280745,1.06390347001,1.07938411296
incl_BoostedGen_,nCleanJet_boo,GGH_800_RelW002,1.06769196883,1.0672849619,1.06810801343
incl_BoostedGen_,nCleanJet_boo,QQH_125_RelW002,1.07001957424,1.06698586305,1.08788471957
incl_BoostedGen_,nCleanJet_boo,QQH_135_RelW002,1.07601813221,1.0716984511,1.08124385024
incl_BoostedGen_,nCleanJet_boo,GGH_600_RelW002,1.06480417092,1.064485498,1.0651291487
incl_BoostedGen_,nCleanJet_boo,GGH_700_RelW002,1.06686406221,1.06649559516,1.06724014995
incl_BoostedGen_,nCleanJet_boo,GGH_160_RelW002,1.10577231697,1.09990489493,1.11320495192
incl_BoostedGen_,nCleanJet_boo,QQH_145_RelW002,0.99064234439,0.997624322276,0.970238875734
incl_BoostedGen_,nCleanJet_boo,GGH_180_RelW002,1.04745276915,1.04614882151,1.04888748792
incl_BoostedGen_,nCleanJet_boo,GGH_175_RelW002,1.04873098618,1.04698658229,1.05069389014
incl_BoostedGen_,nCleanJet_boo,QQH_170_RelW002,1.01621722022,1.01490331356,1.01779952801
incl_BoostedGen_,nCleanJet_boo,GGH_124_RelW002,1.15701037835,1.1449861292,1.17283057107
incl_BoostedGen_,nCleanJet_boo,GGH_135_RelW002,1.17774119044,1.16481688719,1.19504826935
incl_BoostedGen_,nCleanJet_boo,QQH_190_RelW002,1.05180012808,1.05073905729,1.0529463948
incl_BoostedGen_,nCleanJet_boo,DY,1.04489191182,1.04434044273,1.04547301907
incl_BoostedGen_,nCleanJet_boo,QQH_175_RelW002,1.04783298855,1.0460721747,1.04985961565
incl_BoostedGen_,nCleanJet_boo,GGH_115_RelW002,1.01385552496,1.00726256382,1.15336380079
incl_BoostedGen_,nCleanJet_boo,qqH_hww,1.06988203722,1.06649638932,1.07397595252
incl_BoostedGen_,nCleanJet_boo,QQH_124_RelW002,1.17563980187,1.17587231113,1.13708876592
incl_BoostedGen_,nCleanJet_boo,QQH_120_RelW002,1.05150308096,1.0486136013,1.05502078107
incl_BoostedGen_,nCleanJet_boo,QQH_230_RelW002,1.03508826363,1.03465370828,1.03554411001
incl_BoostedGen_,nCleanJet_boo,GGH_126_RelW002,0.945965197593,0.955251096068,0.891856113813
incl_BoostedGen_,nCleanJet_boo,QQH_115_RelW002,1.07093863391,1.06649889044,1.07643044162
incl_BoostedGen_,nCleanJet_boo,QQH_140_RelW002,0.933737891254,0.933139424216,1.03517138254
incl_BoostedGen_,nCleanJet_boo,QQH_750_RelW002,1.02535309011,1.0251777996,1.02553227499
incl_BoostedGen_,nCleanJet_boo,GGH_130_RelW002,1.12478759512,1.11655286995,1.13554391751
incl_BoostedGen_,nCleanJet_boo,qqH_htt,1.05101717377,1.04940560348,1.05273944167
incl_BoostedGen_,nCleanJet_boo,GGH_140_RelW002,1.09706027501,1.09274524553,1.10266565782
incl_BoostedGen_,nCleanJet_boo,QQH_900_RelW002,1.02462209679,1.02443247797,1.02481635037
incl_BoostedGen_,nCleanJet_boo,Vg,1.04649362898,1.04556219403,1.04747332552
incl_BoostedGen_,nCleanJet_boo,GGH_5000_RelW002,1.06694350833,1.06597841699,1.06794610184
incl_BoostedGen_,nCleanJet_boo,GGH_500_RelW002,1.06037901391,1.06003297536,1.06073236932
incl_BoostedGen_,nCleanJet_boo,QQH_270_RelW002,1.03358647445,1.03323276288,1.03395319423
incl_BoostedGen_,nCleanJet_boo,GGH_2500_RelW002,1.07290439088,1.0722239017,1.07360787111
incl_BoostedGen_,nCleanJet_boo,GGH_210_RelW002,1.04998822081,1.04897927435,1.05107546205
incl_BoostedGen_,nCleanJet_boo,GGH_150_RelW002,1.02429157034,0.989385377018,1.16597367226
incl_ResolvedGen_,nCleanJet_res,qqWWqq,1.07502138558,1.07452494465,1.07552945323
incl_ResolvedGen_,nCleanJet_res,QQH_200_RelW002,1.0665970126,1.0652690741,1.06804361915
incl_ResolvedGen_,nCleanJet_res,GGH_125_RelW002,1.09850402478,1.08948887302,1.11152474097
incl_ResolvedGen_,nCleanJet_res,GGH_3000_RelW002,1.03938148521,1.03666291191,1.043776378
incl_ResolvedGen_,nCleanJet_res,WW,1.06421791024,1.06398222507,1.0644568887
incl_ResolvedGen_,nCleanJet_res,QQH_250_RelW002,1.05281374063,1.0521281229,1.05353282328
incl_ResolvedGen_,nCleanJet_res,QQH_4000_RelW002,1.04321486842,1.03997682892,1.0476587651
incl_ResolvedGen_,nCleanJet_res,GGH_190_RelW002,1.06547715211,1.06333193747,1.06788575769
incl_ResolvedGen_,nCleanJet_res,QQH_500_RelW002,1.02882148431,1.02839169247,1.02927336289
incl_ResolvedGen_,nCleanJet_res,GGH_250_RelW002,1.07101394552,1.06991468887,1.07218353231
incl_ResolvedGen_,nCleanJet_res,QQH_155_RelW002,1.11019291193,1.08017166835,1.19703312054
incl_ResolvedGen_,nCleanJet_res,QQH_450_RelW002,1.0342563637,1.03384919307,1.0346791797
incl_ResolvedGen_,nCleanJet_res,QQH_600_RelW002,1.01489159446,1.01393745283,1.01592896286
incl_ResolvedGen_,nCleanJet_res,GGH_145_RelW002,1.00601203053,1.00571610022,1.06988727525
incl_ResolvedGen_,nCleanJet_res,GGH_120_RelW002,1.20518178223,1.19230755788,1.22365601156
